Project_ID,Project_Name,Category,Contractor,Start_Date,Planned_End_Date,Actual_End_Date,Budget_MYR,Actual_Cost_MYR,Delay_Days
P0001,Project_1,Residential,WCT,2023-10-17,2024-05-08,2024-05-08,70737657,81897578,0
P0002,Project_2,Commercial,SP Setia,2023-03-09,2023-07-09,2023-07-09,63690184,70741104,0
P0003,Project_3,Residential,IJM,2023-10-28,2025-08-06,2025-08-06,125583634,148603196,0
P0004,Project_4,Residential,Gamuda,2023-12-16,2025-05-21,2025-05-21,46736211,54551577,0
P0005,Project_5,Residential,UEM,2023-01-25,2023-08-02,2023-08-02,76006778,87818696,0
P0006,Project_6,Commercial,Sunway,2022-03-22,2024-01-06,2024-01-06,56617074,51863421,0
P0007,Project_7,Commercial,Sunway,2022-03-23,2023-02-14,2023-03-21,79617971,97872745,35
P0008,Project_8,Industrial,UEM,2022-12-30,2023-10-30,2023-10-30,50939680,50210418,0
P0009,Project_9,Infrastructure,UEM,2022-10-04,2024-07-25,2024-07-25,20015728,18239033,0
P0010,Project_10,Industrial,IJM,2022-10-02,2023-03-08,2023-03-08,62076502,64464657,0
P0011,Project_11,Commercial,IJM,2022-09-29,2023-05-19,2023-05-19,120006828,124781920,0
P0012,Project_12,Industrial,WCT,2023-06-06,2025-01-21,2025-01-21,34433715,32918414,0
P0013,Project_13,Residential,SP Setia,2022-03-07,2023-07-04,2023-10-19,147033050,171439113,107
P0014,Project_14,Industrial,Gamuda,2024-01-09,2024-08-03,2024-08-03,96315158,101339711,0
P0015,Project_15,Infrastructure,SP Setia,2024-01-10,2025-01-03,2025-01-03,141279761,170197114,0
P0016,Project_16,Residential,WCT,2023-06-04,2025-05-17,2025-05-17,105371734,114726916,0
P0017,Project_17,Infrastructure,IJM,2022-11-28,2024-07-10,2024-07-10,102436907,122010851,0
P0018,Project_18,Commercial,IJM,2022-03-01,2023-01-31,2023-01-31,27992422,33188043,0
P0019,Project_19,Commercial,WCT,2023-11-07,2025-06-05,2025-06-05,76150596,84702907,0
P0020,Project_20,Residential,IJM,2024-02-13,2024-12-04,2025-03-03,105239303,122631208,89
P0021,Project_21,Residential,IJM,2022-08-19,2023-01-21,2023-01-21,66770953,60261906,0
P0022,Project_22,Commercial,WCT,2022-03-11,2022-07-11,2022-07-11,143017733,162202449,0
P0023,Project_23,Commercial,Gamuda,2022-05-16,2024-03-20,2024-08-24,70229074,100642274,157
P0024,Project_24,Residential,Gamuda,2022-04-10,2023-09-23,2024-01-01,115354427,145430645,100
P0025,Project_25,Industrial,IJM,2023-02-17,2024-04-29,2024-04-29,56429568,59646885,0
